p,pLabel,pAlias,pContent,pNationality,pWikilink,pPicture
http://www.wikidata.org/entity/Q3166,Denny Hulme,Denis Clive Hulme,New Zealander racing driver,,https://en.wikipedia.org/wiki/Denny%20Hulme,http://commons.wikimedia.org/wiki/Special:FilePath/HulmeDenis196508.jpg
http://www.wikidata.org/entity/Q1703469,Jonny Reid,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Jonny%20Reid,http://commons.wikimedia.org/wiki/Special:FilePath/Jonny%20Reid.JPG
http://www.wikidata.org/entity/Q1790883,Wade Cunningham,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Wade%20Cunningham,http://commons.wikimedia.org/wiki/Special:FilePath/WadeCunningham2005.jpg
http://www.wikidata.org/entity/Q171469,Chris Amon,"Christopher Amon, Christopher Arthur Amon",New Zealander racecar driver,,https://en.wikipedia.org/wiki/Chris%20Amon,http://commons.wikimedia.org/wiki/Special:FilePath/AmonChris19730706.jpg
http://www.wikidata.org/entity/Q171733,Howden Ganley,,racecar driver,,https://en.wikipedia.org/wiki/Howden%20Ganley,http://commons.wikimedia.org/wiki/Special:FilePath/HowdenGanleyNZFMR2015.jpg
http://www.wikidata.org/entity/Q171752,Mike Thackwell,,New Zealander racecar driver,,https://en.wikipedia.org/wiki/Mike%20Thackwell,
http://www.wikidata.org/entity/Q171986,John Nicholson,,New Zealand racing driver,,https://en.wikipedia.org/wiki/John%20Nicholson%20%28racing%20driver%29,
http://www.wikidata.org/entity/Q1077911,Chris van der Drift,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Chris%20van%20der%20Drift,http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20van%20der%20Drift%20with%20his%20podium%20trophies%20at%20SF%202010.jpg
http://www.wikidata.org/entity/Q1277000,Earl Bamber,Earl Anderson Bamber,"racing driver, 2015 Le Mans winner, 2014 Porsche Supercup champion",,https://en.wikipedia.org/wiki/Earl%20Bamber,
http://www.wikidata.org/entity/Q6221992,Shane Van Gisbergen,,New Zealander racecar driver,,https://en.wikipedia.org/wiki/Shane%20van%20Gisbergen,
http://www.wikidata.org/entity/Q7436838,Scott McLaughlin,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Scott%20McLaughlin%20%28racing%20driver%29,
http://www.wikidata.org/entity/Q7520063,Simon Wills,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Simon%20Wills,
http://www.wikidata.org/entity/Q7613527,Steve Owen,,Australian racing driver,,https://en.wikipedia.org/wiki/Steve%20Owen%20%28racing%20driver%29,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Owen.jpg
http://www.wikidata.org/entity/Q7659703,Syd Jensen,,New Zealand motorcycle racer,,https://en.wikipedia.org/wiki/Syd%20Jensen,
http://www.wikidata.org/entity/Q7793181,Thomas Pitt Cholmondeley-Tapper,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Thomas%20Pitt%20Cholmondeley-Tapper,
http://www.wikidata.org/entity/Q7925796,Victor Chapman,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Victor%20Chapman%20%28racing%20driver%29,
http://www.wikidata.org/entity/Q15993625,Bob Wallace,,New Zealand test driver,,https://en.wikipedia.org/wiki/Bob%20Wallace%20%28test%20driver%29,http://commons.wikimedia.org/wiki/Special:FilePath/Bob%20Wallace%20working%20on%20Maserati%20Birdcage%2C%201960s.jpg
http://www.wikidata.org/entity/Q172535,Graham McRae,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Graham%20McRae,
http://www.wikidata.org/entity/Q173081,Bruce McLaren,Bruce Leslie McLaren,"New Zealander racecar driver, designer and team owner",,https://en.wikipedia.org/wiki/Bruce%20McLaren,http://commons.wikimedia.org/wiki/Special:FilePath/McLarenBruce.jpg
http://www.wikidata.org/entity/Q361113,Brendon Hartley,"Hartley, Brendon","racing driver, 2015 World Endurance Drivers' Champion",,https://en.wikipedia.org/wiki/Brendon%20Hartley,http://commons.wikimedia.org/wiki/Special:FilePath/Brendon%20Hartley%20Driver%20of%20Porsche%20Team%27s%20Porsche%20919%20Hybrid.jpg
http://www.wikidata.org/entity/Q389092,Alex Davison,,Australian racecar driver,,https://en.wikipedia.org/wiki/Alex%20Davison,
http://www.wikidata.org/entity/Q465201,Scott Dixon,,New Zealander racecar driver,,https://en.wikipedia.org/wiki/Scott%20Dixon,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Dixon%20at%20the%202013%20Grand%20Prix%20of%20Baltimore.jpg
http://www.wikidata.org/entity/Q735803,Mitch Evans,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Mitch%20Evans,http://commons.wikimedia.org/wiki/Special:FilePath/Dallara%20F307%20of%20Mitch%20Evans.jpg
http://www.wikidata.org/entity/Q3001990,Craig Baird,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Craig%20Baird,
http://www.wikidata.org/entity/Q4756254,Andrew Bagnall,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Andrew%20Bagnall,
http://www.wikidata.org/entity/Q4933009,Bob Kennett,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Bob%20Kennett,
http://www.wikidata.org/entity/Q5040737,Carl Ruiterman,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Carl%20Ruiterman,
http://www.wikidata.org/entity/Q5229361,Dave McMillan,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Dave%20McMillan,
http://www.wikidata.org/entity/Q5592317,Graeme Lawrence,,New Zealand racing driver,,https://en.wikipedia.org/wiki/Graeme%20Lawrence,
